name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,sanitary_finish,accessory_type,accessory_material,accessory_mounting,source_url,image_url,confidence
Cera Bold Soap Dish,Cera,F5013106CH,,8302,18,China,1,Chrome,Soap Dish,Stainless Steel,Wall,https://www.cera-india.com/cera/faucets-showers-bath-accessories/bold-soap-dish,,confirmed
Cera Saber Towel Rail 450mm,Cera,F5012104CH,,8302,18,China,1,Chrome,Towel Rail,Brass,Wall,https://www.cera-india.com/cera/faucets-showers-bath-accessories/saber-towel-rail-0,,confirmed
