brand,category_path,product_name,mfr_part_number,module_capacity,material,finish,series,price_inr,source_url
Havells,electrical/switch-plates,Adiva 1M Dummy Plate White,,1,Polycarbonate,White,Adiva,36.00,https://havells.com/switches/modular-range.html
Havells,electrical/switch-plates,Adiva 1M Dummy Plate Grey,,1,Polycarbonate,Grey,Adiva,44.00,https://havells.com/switches/modular-range.html
Havells,electrical/switch-plates,Adiva 6M Front Plate White,,6,Polycarbonate,White,Adiva,258.00,https://havells.com/switches/modular-range.html
Havells,electrical/switch-plates,Adiva 12M Front Plate White,,12,Polycarbonate,White,Adiva,396.00,https://havells.com/switches/modular-range.html
Havells,electrical/switch-plates,Adiva 6M Combined Plate Rose Gold Bezel Grey,,6,Polycarbonate,Grey,Adiva,349.00,https://havells.com/switches/modular-range.html
Havells,electrical/switch-plates,Adiva Indicator Lamp White,,1,Polycarbonate,White,Adiva,121.00,https://havells.com/switches/modular-range.html
