name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,sanitary_finish,tap_type,tap_mounting,handle_type,tap_body_material,cartridge_size,source_url,image_url,confidence
Cera Victor Single Lever Basin Mixer,Cera,F1015451,,8481,18,China,1,Chrome,Basin Mixer,Deck,Single Lever,,,https://www.cera-india.com/cera/faucets-showers-faucets-single-lever-range-victor-victor/victor-single-lever-basin-mixer,,confirmed
Cera Victor Single Lever Wall Mixer,Cera,F1015414,,8481,18,China,1,Chrome,Wall Mixer,Wall,Single Lever,,,https://www.cera-india.com/cera/faucets-showers-faucets-single-lever-range-victor-victor/victor-single-lever-wall-mixer,,confirmed
Cera Victor Sink Mixer,Cera,F1015501,,8481,18,China,1,Chrome,Sink Mixer,Wall,Single Lever,,,https://www.cera-india.com/cera/faucets-showers-faucets-single-lever-range-victor-victor/victor-sink-mixer,,confirmed
